Site,Species,Species_sampling_priority
Wytham Woods,Brachypodium_pinnatum,1
Wytham Woods,Trisetum_flavescens,2
Wytham Woods,Geranium_columbinum,3
Wytham Woods,Medicago_lupulina,4
Wytham Woods,Lotus_corniculatus,5
Wytham Woods,Festuca_rubra,6
Wytham Woods,Potentilla_reptans,7
Wytham Woods,Crepis_capillaris,8
Wytham Woods,Arrhenatherum_elatius,9
Wytham Woods,Trifolium_repens,10
Wytham Woods,Cerastium_fontanum,11
Wytham Woods,Galium_verum,12
Wytham Woods,Brachypodium_sylvaticum,13
Wytham Woods,Trifolium_campestre,14
Wytham Woods,Holcus_lanatus,15
Wytham Woods,Bromus_commutatus,16
Wytham Woods,Trifolium_pratense,17
Wytham Woods,Agrimonia_eupatoria,18
Wytham Woods,Bromus_sterilis,19
Wytham Woods,Agrostis_stolonifera,20
