site_name,name,value
Abeokuta,shannon,2.5762345267167133
Abeokuta,simpson,0.9061036324814176
Abeokuta,invsimp,10.710549661903448
Abeokuta,pielou,0.8913159768042763
Abeokuta,richness,18
Agroscope Changins,shannon,3.110091532952639
Agroscope Changins,simpson,0.9155389042576836
Agroscope Changins,invsimp,11.97518423168061
Agroscope Changins,pielou,0.8268880775515824
Agroscope Changins,richness,43
Ainsdale Dune Slacks,shannon,3.225936542987817
Ainsdale Dune Slacks,simpson,0.9377343971016056
Ainsdale Dune Slacks,invsimp,16.19378772624848
Ainsdale Dune Slacks,pielou,0.8333167236467671
Ainsdale Dune Slacks,richness,48
Algaida,shannon,2.823255495098021
Algaida,simpson,0.9035429007327649
Algaida,invsimp,10.484069951519512
Algaida,pielou,0.760253320626569
Algaida,richness,41
Archbold Biological Station,shannon,3.20828863815996
Archbold Biological Station,simpson,0.9479991627642568
Archbold Biological Station,invsimp,19.354969248573024
Archbold Biological Station,pielou,0.8884966968995912
Archbold Biological Station,richness,37
Bad Lauchstaedt,shannon,3.490055439466135
Bad Lauchstaedt,simpson,0.9555266051381033
Bad Lauchstaedt,invsimp,22.6196918984369
Bad Lauchstaedt,pielou,0.8242720006397436
Bad Lauchstaedt,richness,69
Bayreuth DRAGNet,shannon,3.575111172985683
Bayreuth DRAGNet,simpson,0.9560270569439828
Bayreuth DRAGNet,invsimp,22.88012106702585
Bayreuth DRAGNet,pielou,0.8596325266488617
Bayreuth DRAGNet,richness,64
Bladen Lakes State Forest,shannon,3.152699961449586
Bladen Lakes State Forest,simpson,0.9472210376288287
Bladen Lakes State Forest,invsimp,19.05244872174305
Bladen Lakes State Forest,pielou,0.8940379009581705
Bladen Lakes State Forest,richness,34
Blandy Experimental Farm,shannon,3.3031550902068982
Blandy Experimental Farm,simpson,0.9553535311495919
Blandy Experimental Farm,invsimp,22.50285316898498
Blandy Experimental Farm,pielou,0.9080623647565662
Blandy Experimental Farm,richness,38
