Site,Species,Species_sampling_priority
Agroscope Changins,Holcus_lanatus,1
Agroscope Changins,Achillea_millefolium,2
Agroscope Changins,Ranunculus_acris,3
Agroscope Changins,Agrostis_capillaris,4
Agroscope Changins,Trifolium_pratense,5
Agroscope Changins,Festuca_arundinacea,6
Agroscope Changins,Trisetum_flavescens,7
Agroscope Changins,Lotus_corniculatus,8
Agroscope Changins,Alopecurus_pratensis,9
Agroscope Changins,Crepis_biennis,10
Agroscope Changins,Plantago_lanceolata,11
Agroscope Changins,Polygonum_aviculare,12
Agroscope Changins,Rumex_acetosa,13
Agroscope Changins,Galium_album,14
Agroscope Changins,Arrhenatherum_elatius,15
Agroscope Changins,Lolium_perenne,16
Agroscope Changins,Dactylis_glomerata,17
Agroscope Changins,Centaurea_jacea,18
Agroscope Changins,Poa_pratensis,19
Agroscope Changins,Poa_trivialis,20
