Site,Species,Species_sampling_priority
Algaida,Plantago_coronopus,1
Algaida,Chaetopogon_fasciculatus,2
Algaida,Vulpia_geniculata,3
Algaida,Echium_vulgare,4
Algaida,Leontodon_longirostris,5
Algaida,Lysimachia_arvensis,6
Algaida,Carduus_meonanthus,7
Algaida,Heliotropium_europaeum,8
Algaida,Trifolium_resupinatum,9
Algaida,Trifolium_campestre,10
Algaida,Erodium_moschatum,11
Algaida,Hypochaeris_glabra,12
Algaida,Jacobaea_vulgaris,13
Algaida,Sonchus_tenerrimus,14
Algaida,Crepis_capillaris,15
Algaida,Acis_trichophylla,16
Algaida,Spergularia_rubra,17
Algaida,Narcissus_obsoletus,18
Algaida,Trifolium_stellatum,19
Algaida,Lotus_corniculatus,20
