Site,Species,Species_sampling_priority
Bayreuth DRAGNet,Festuca_rubra,1
Bayreuth DRAGNet,Holcus_lanatus,2
Bayreuth DRAGNet,Cerastium_fontanum,3
Bayreuth DRAGNet,Galium_album,4
Bayreuth DRAGNet,Centaurea_jacea,5
Bayreuth DRAGNet,Plantago_lanceolata,6
Bayreuth DRAGNet,Pilosella_piloselloides,7
Bayreuth DRAGNet,Knautia_arvensis,8
Bayreuth DRAGNet,Hypochaeris_radicata,9
Bayreuth DRAGNet,Arrhenatherum_elatius,10
Bayreuth DRAGNet,Trifolium_pratense,11
Bayreuth DRAGNet,Anthoxanthum_odoratum,12
Bayreuth DRAGNet,Alopecurus_pratensis,13
Bayreuth DRAGNet,Trisetum_flavescens,14
Bayreuth DRAGNet,Dactylis_glomerata,15
Bayreuth DRAGNet,Luzula_campestris,16
Bayreuth DRAGNet,Pilosella_aurantiaca,17
Bayreuth DRAGNet,Trifolium_repens,18
Bayreuth DRAGNet,Leucanthemum_ircutianum,19
Bayreuth DRAGNet,Scorzoneroides_autumnalis,20
