Site,Species,Species_sampling_priority
CEREEP - Ecotron IDF,Anthoxanthum_odoratum,1
CEREEP - Ecotron IDF,Agrostis_capillaris,2
CEREEP - Ecotron IDF,Plantago_lanceolata,3
CEREEP - Ecotron IDF,Bromus_hordeaceus,4
CEREEP - Ecotron IDF,Daucus_carota,5
CEREEP - Ecotron IDF,Carex_divulsa,6
CEREEP - Ecotron IDF,Erodium_cicutarium,7
CEREEP - Ecotron IDF,Poa_pratensis,8
CEREEP - Ecotron IDF,Convolvulus_arvensis,9
CEREEP - Ecotron IDF,Arrhenatherum_elatius,10
CEREEP - Ecotron IDF,Poa_trivialis,11
CEREEP - Ecotron IDF,Hypericum_perforatum,12
CEREEP - Ecotron IDF,Poa_annua,13
CEREEP - Ecotron IDF,Luzula_campestris,14
CEREEP - Ecotron IDF,Picris_hieracioides,15
CEREEP - Ecotron IDF,Hieracium_umbellatum,16
CEREEP - Ecotron IDF,Rubus_fruticosus,17
CEREEP - Ecotron IDF,Holcus_lanatus,18
CEREEP - Ecotron IDF,Rumex_acetosella,19
CEREEP - Ecotron IDF,Chenopodium_album,20
