Site,Species,Species_sampling_priority
Churning Rapids,Centaurea_stoebe,1
Churning Rapids,Rumex_acetosella,2
Churning Rapids,Leucanthemum_vulgare,3
Churning Rapids,Dactylis_glomerata,4
Churning Rapids,Elymus_repens,5
Churning Rapids,Clinopodium_vulgare,6
Churning Rapids,Achillea_millefolium,7
Churning Rapids,Phleum_pratense,8
Churning Rapids,Solidago_canadensis,9
Churning Rapids,Potentilla_recta,10
Churning Rapids,Anthoxanthum_odoratum,11
Churning Rapids,Asclepias_syriaca,12
Churning Rapids,Fragaria_vesca,13
Churning Rapids,Cladonia_rangiferina,14
Churning Rapids,Daucus_carota,15
Churning Rapids,Hypericum_perforatum,16
Churning Rapids,Solidago_juncea,17
Churning Rapids,Solidago_rugosa,18
Churning Rapids,Solidago_gigantea,19
Churning Rapids,Tragopogon_dubius,20
