Site,Species,Species_sampling_priority
Jena,Achillea_millefolium,1
Jena,Lolium_perenne,2
Jena,Trifolium_dubium,3
Jena,Bellis_perennis,4
Jena,Poa_pratensis,5
Jena,Convolvulus_arvensis,6
Jena,Geranium_pusillum,7
Jena,Cerastium_fontanum,8
Jena,Valerianella_carinata,9
Jena,Arenaria_serpyllifolia,10
Jena,Valerianella_locusta,11
Jena,Bromus_hordeaceus,12
Jena,Geranium_dissectum,13
Jena,Taraxacum_officinale,14
Jena,Arrhenatherum_elatius,15
Jena,Elymus_repens,16
Jena,Polygonum_aviculare,17
Jena,Stellaria_media,18
Jena,Dactylis_glomerata,19
Jena,Veronica_arvensis,20
