Site,Species,Species_sampling_priority
Millville,Poa_bulbosa,1
Millville,Convolvulus_arvensis,2
Millville,Erodium_cicutarium,3
Millville,Agropyron_cristatum,4
Millville,Secale_cereale,5
Millville,Elymus_repens,6
Millville,Elymus_trachycaulus,7
Millville,Isatis_tinctoria,8
Millville,Tragopogon_dubius,9
Millville,Poa_secunda,10
Millville,Medicago_sativa,11
Millville,Bromus_tectorum,12
Millville,Centaurea_stoebe,13
Millville,Avena_fatua,14
Millville,Eremopyrum_triticeum,15
Millville,Taraxacum_officinale,16
Millville,Medicago_lupulina,17
Millville,Capsella_bursa-pastoris,18
Millville,Grindelia_squarrosa,19
Millville,Onopordum_acanthium,20
